name,full_name,dob,age,height,weight,eye_color,hair_color,zodiac_sign,hometown,nationality,education_qualification,religion,food_habit,hobbies,marital_status,salary,net_worth,image_path
Sanjay Khan,Sanjay Khan,3 January 1941,,180 cm,85 kg,Dark brown,Salt and pepper (Dyed black),Capricorn ,Banglore_India,Indian,High school graduate,Islam,,Horse riding_reading_collecting cars and travelling,Married,,,images/Sanjay_Khan.jpg
Sanjay Suri,Sanjay Suri,6 April 1971,, 175 cm, 73 kg ,Brown,Dark Brown,Aries,Srinagar_Jammu & Kashmir_India,Indian,,Hinduism,,Travelling_photography,Married,,,images/Sanjay_Suri.jpg
Sandeep Kulkarni,Sandeep Kulkarni,16 November ,,,70 kg,Brown,Black,Scorpio,Pune_Maharashtra,Indian,Bachelor of Fine Arts,Hinduism,,Painting_Travelling,Married,,,images/Sandeep_Kulkarni.jpg
Salman Khan,Abdul Rashid Salim Salman Khan ,27 December 1965 ,,,,Brown,Black,Capricorn,Mumbai (he spent his childhood at 21_Palasia in Indore & Gwalior) ,Indian ,College Drop-Out ,He identifies himself as both Hindu and Muslim; he says “I’m Hindu and Muslim both. I’m Bharatiya (an Indian). My father is Muslim and my mother is Hindu.” ,Non-Vegetarian ,Swimming ,Unmarried,₹60 crore/film ,$300 Million (₹1950 Crore) ,images/Salman_Khan.jpg
Sajid Khan,Sajid Khan,23 November 1970,,178 cm,87 kg,Black,Black,Sagittarius,Mumbai_Maharashtra_India,Indian,Graduate,Islam,,Watching movies_Cracking jokes,Unmarried,,,images/Sajid_Khan.jpg
Salim Khan,Abdul Salim Khan ,25 November 1936 ,,175 cm,80 kg,Light Brown,Salt & pepper,Sagittarius,Indore_Madhya Pradesh_India,Indian,M.A.,Islam,,Watching Cricket_Reading,Married,,$20 Million,images/Salim_Khan.jpg
Sara Ali,Sara Ali,12 August 1993,,165 cm,50 kg,Dark Brown,Black,Leo,Mumbai_Maharashtra_India,Indian,Graduation in History and Political Science,Islam,Non-Vegetarian,Travelling_Playing Tennis_Dancing,Unmarried,,,images/Sara_Ali.jpg
Sai Dharam,Sai Dharam Tej,15 October 1986,,-180 cm,-70 kg,Brown,Black,Libra,Hyderabad_Telangana_India,Indian,,Hinduism,,Playing cricket_Travelling,Unmarried,,,images/Sai_Dharam.jpg
Samir Soni,Samir Soni,29 September 1970 ,,175 cm,75 kg,Brown,Black,Libra,Delhi_India,Indian,Graduate,Hinduism,,Reading_Writing_Watching Movies_Travelling,Married,,,images/Samir_Soni.jpg
Saif Ali,Saif Ali,16 August 1970,,173 cm,,Brown,Black,Leo,Mumbai_Maharashtra_India,Indian ,Graduate,Islam,Non-Vegetarian,Reading Novels_Playing the Guitar_Travelling_Fishing_Trekking,Married,Rs. 21 Crore (as in 2016),Rs. 940 Crore ($140 Million),images/Saif_Ali.jpg
Sachin Khedekar,Sachin Khedekar,14 May 1965,,178 cm,79 kg,Dark Brown,White,Taurus,Mumbai_Maharashtra,Indian,Not Known,Hinduism,,,Married,,,images/Sachin_Khedekar.jpg
Saeed Jaffrey,Saeed Jaffrey,,,,,,,,,,,,,,,,,images/Saeed_Jaffrey.jpg
Sachin Pilgaonkar,Sachin Pilgaonkar,12 August 1957,, 165 cm, 67 kg,Dark Brown,Black,Leo,Mumbai_Maharashtra_India,Indian,Not Known,Hinduism,,Dancing_singing,Married,,,images/Sachin_Pilgaonkar.jpg
S. Shankar,Shankar Shanmugam,17 August 1963,,175 cm,85 kg,Black,Black,Leo,Kumbakonam_Tamil Nadu,Indian,Diploma in Mechanical Engineering ,Hinduism,,Listening to Music_Watching Movies_Travelling,Married,,₹116 Crore,images/S._Shankar.jpg
Riteish Deshmukh,Riteish Vilasrao Deshmukh,17 December 1978,,180 cm,75 kg,Dark Brown,Black,Sagittarius,Mumbai_Maharashtra_India,Indian,Degree in Architecture,Hinduism,Non-Vegetarian,Playing Cricket_Singing,Married,₹4-5 crore/film ,$30 million,images/Riteish_Deshmukh.jpg
Riyaz Khan,Riyaz Khan,9 September 1972,, 170 cm, 75 kg,Brown,Black,Virgo,Chennai_Tamil Nadu_India,Indian,Not Known,Islam,,Not Known,Married,,,images/Riyaz_Khan.jpg
Ronit Roy,Ronit Roy,"11 October 1965 ,
",,173 cm,75 kg,Brown,Black,Libra, Ahmedabad_Gujarat,Indian ,Hotel management,Hindu,,Internet surfing and learning new things,Married,1.25 lacs /episode (INR),Not Known,images/Ronit_Roy.jpg
Rohit Roy,Rohit Roy,5 April 1968,, 178 cm, 75 kg,,,Aries,Ahmedabad_Gujarat_India,Indian,,Hinduism,,Dancing_Playing Cricket_Watching Films,Married,,,images/Rohit_Roy.jpg
Raza Murad,Raza Murad,23 November 1950,, 191 cm, 98 kg,Brown,Salt & Pepper,Sagittarius,Rampur_Uttar Pradesh_India,Indian,,Islam,,Singing,Married,,,images/Raza_Murad.jpg
Rishi Kapoor,Rishi Raj Kapoor,4 September 1952,,173 cm,90 kg,Dark Brown,Black,Virgo,Mumbai_Maharashtra_India,Indian,8th Fail,Hinduism,Non-Vegetarian,Collecting Sweaters ,Married,,₹ 275 Crore ($40 million),images/Rishi_Kapoor.jpg
Ravi Teja,Ravi Teja,26 January 1968,,178 cm,70 kg,Brown,Black,Aquarius,Vijayawada_Andhra Pradesh_India,Indian ,Bachelor of Arts,Hindu,,Watching films and Travelling,Married,7 Crore/film (INR),60 Crore (INR),images/Ravi_Teja.jpg
Ravichandran Ashwin,Ravichandran Ashwin,17 September 1986,,188 cm,75 kg,Black,Black,Virgo,Chennai_Tamil Nadu_India,Indian,B.Tech in Information Technology (IT) ,Hinduism,,Reading_Watching movies_tennis_basket ball & football,Married," ₹5 crore ,
, ₹15 lakh ,
, ₹6 lakh ,
, ₹3 lakh,
, ₹7.6 crore",,images/Ravichandran_Ashwin.jpg
Ranvir Shorey,Ranvir Shorey,18 August 1972,, 183 cm, 78 kg,,,Leo,Jalandhar_Punjab_India,Indian,,Hindu,,Not Known,Married,,,images/Ranvir_Shorey.jpg
Ravi Shankar,Ravi Shankar,"Year, 1986",,,,,,,Mumbai_India,Indian,,Hinduism,,,Unmarried,,,images/Ravi_Shankar.jpg
Ravi Kishan,Ravi Kishan Shukla,17 July 1971,,178 cm,80 kg,Brown,Black,Cancer,Barain_Jaunpur_Uttar Pradesh_India,Indian ,B.Com,Hinduism,,Dancing,Married,20-30 Lakh/film (INR),Rs. 14 Crore (as in 2014),images/Ravi_Kishan.jpg
Ram Pothineni,Ram Pothineni,15 May 1988,, 173 cm, 65 kg ,Dark Brown,Black,Taurus,Hyderabad_Telangana_India,Indian,,Hinduism,,Watching TV_dancing,Unmarried,4 crore/film (INR),Not Known,images/Ram_Pothineni.jpg
Ranveer Singh,Ranveer Singh Bhavnani,6 July 1985,,178 cm,75 kg,Dark Brown,Black,Cancer,Mumbai_Maharashtra_India,Indian,"Bachelor of Arts degree from Indiana University, USA",Hinduism,Non-Vegetarian,Collecting Shoes & Hats_Playing and Watching Football_Playing Video Games,Married,₹10 crore/Film,$15 million,images/Ranveer_Singh.jpg
Randhir Kapoor,Randhir Kapoor,15 February 1947,,178 cm,90 kg,Hazel,Salt & pepper,Aquarius,Mumbai_India, Indian,High school graduate,Hinduism,,,Married,,$30 million,images/Randhir_Kapoor.jpg
Ranjeet (Actor),Ranjeet (Actor),12 November 1946,,175 cm,74 kg,Black,Black,Scorpio,Jandiala Guru_Amritsar_Punjab,Indian ,Bachelor of Arts,Hinduism,,Not Known,Married,,,images/Ranjeet_(Actor).jpg
Ramesh Deo,Ramesh Deo,30 January 1929,,172 cm,70 kg,Dark Brown,White,Aquarius,Kolhapur_Maharashtra., Indian,School Dropout,Hindu,,Reading,Married,,,images/Ramesh_Deo.jpg
Rajpal Yadav,Rajpal Yadav,16 March 1971,,161 cm,58 kg,Black,Black,Pisces,Shahjahanpur_Uttar Pradesh_India,Indian ,Theatre Course,Hindu,,Theatre,Married,50 Lacs/film (INR),Not Known,images/Rajpal_Yadav.jpg
Raju Srivastav,Raju Srivastav,25 December 1963,, 170 cm,70 kg,Dark Brown,Black,Capricorn,Kanpur_India,Indian,Not Known,Hinduism,,Dancing_Travelling,Married, 4-5 Lakh INR/Act,$2 Million,images/Raju_Srivastav.jpg
Rajiv Kanakala,Rajiv Kanakala,13 November,,175 cm,75 kg,Brown,Black,Scorpio,Hyderabad_Telangana_India,Indian,,Hinduism,,Reading books_Playing cricket,Married,,,images/Rajiv_Kanakala.jpg
Rakesh Roshan,Rakesh Roshan,6 September 1949 ,,175 cm,85 kg,Hazel Green,N/A (Bald),Virgo,Mumbai_Maharashtra_India,Indian ,N/A,Hinduism,,cooking,Married,,Not Known,images/Rakesh_Roshan.jpg
Ram Kapoor,Ram Kapoor,1 September 1973,, 175 cm, 96 kg,,,Virgo,Usai_Maharashtra,Indian,,Hindu,,Swimming_Dancing,Married,1.25 lakh/episode (INR),Not Known,images/Ram_Kapoor.jpg
"Rajinikanth Age,","Rajinikanth Age,",12 December 1950,,173 cm,75 kg,Dark Brown,White (Semi-bald),Sagittarius,Bengaluru_Karnataka_India,Indian,Diploma in Acting ,Hinduism ,,Travelling_Reading_Gardening,Married,₹40-45 crore/film ,$55 million,"images/Rajinikanth_Age,.jpg"
Rajesh Khattar,Rajesh Khattar,24 September 1966 (Saturday),,175 cm,70 kg,Black,Black,Libra,Mumbai_Maharashtra,Indian,Graduation,Hinduism,"Non-Vegetarian,
",Travelling and Reading,Married,,,images/Rajesh_Khattar.jpg
Rakesh Bedi,Rakesh Bedi,1 December 1954,,163 cm,80 kg ,Brown,Salt & Pepper,Sagittarius,New Delhi_India,Indian,,Hinduism,,Not Known,Married,,,images/Rakesh_Bedi.jpg
Raj Kapoor,Raj Kapoor,14 December 1924,,170 cm,85 kg,Hazel,Grey ,Sagittarius,Peshawar (Pakistan) ,Indian,6th Fail,Hinduism,,,Married,,,images/Raj_Kapoor.jpg
Raj Babbar,Raj Babbar,23 June 1952,,173 cm,75 kg,Black,Black,Cancer,Tundla_Uttar Pradesh_India,Indian,Graduate in Theatre from National School of Drama,Hinduism,Non-Vegetarian,Reading_Travelling,Married,"₹50,000 + other incentives",₹20 Crore (as in 2014),images/Raj_Babbar.jpg
Rajendra Kumar,Rajendra Kumar,,,,,,,,,,,,,,,,,images/Rajendra_Kumar.jpg
Rajat Barmecha,Rajat Barmecha,24 April 1989,, 173 cm, 63 kg,,,Taurus,Delhi_India,Indian,,Hindu,,Dancing,Unmarried,,,images/Rajat_Barmecha.jpg
Rahul Roy,Rahul Roy,9 February 1968 (Friday), 52 Years,178 cm,,Black,Black,Aquarius,New Delhi,Indian,B. Com ,,,Swimming_Playing Cricket_and Reading Books,Divorced,,,images/Rahul_Roy.jpg
Rahul Bose,Rahul Bose,27 July 1967,,168 cm,61 kg,Dark Brown,Black,Leo,Mumbai_Maharashtra,Indian,Not Known,Hinduism,,Reading_Watching Cricket,Unmarried,,,images/Rahul_Bose.jpg
Rahul Dev,Rahul Dev,"September 27, 1968",,180 cm,70 kg,Dark Brown,Brown,Libra,New Delhi_India,Indian ,Not Known,Hindu,,Exercising,Widower,Not Known,Not Known,images/Rahul_Dev.jpg
Raghubir Yadav,Raghubir Yadav,"25 June 1957,
",,161 cm,60 kg,Dark Brown,Black,Cancer,Jabalpur_Madhya Pradesh_India,Indian,A Masters Degree in Theatre,Hinduism,,Playing flute,Divorced,1.25 lakh/month (INR),,images/Raghubir_Yadav.jpg
Raghu Babu,Raghu Babu,24 June 1964,,-178 cm,-85 kg,Brown,Black,Cancer,Ravinuthala_Prakasam District_Andhra Pradesh_India,Indian,,Hinduism,,Travelling,Married,,,images/Raghu_Babu.jpg
Raaj Kumar,Raaj Kumar,8 October 1926 (Friday),,178 cm,,Dark Brown,Salt & Pepper,Libra,Mumbai,Indian,,Hinduism,Non-Vegetarian ,Trekking_Playing Golf_Horse Riding_Listening to Classical Music and Ghazals ,Married,,,images/Raaj_Kumar.jpg
R. Madhavan,Madhavan Balaji Ranganathan,1 June 1970 (Monday),,179 cm,75 kg,Light Brown,Black,Gemini,Tamil Nadu_India,Indian,"• B.Sc. in Electronics,
• Post-Graduation in Public Speaking",Hinduism,Vegetarian,Playing Golf_Biking,Married,,,images/R._Madhavan.jpg
Prithviraj Sukumaran,Prithviraj Sukumaran,16 October 1982,,181 cm,77 kg,,,Libra,Thiruvananthapuram_Kerala_India,Indian,,Hindu,,Traveling_photography_reading,Married,,,images/Prithviraj_Sukumaran.jpg
Puneet Issar,Puneet Issar,6 November 1959 (Friday),,191 cm,,Brown,Bald,Scorpio,Amritsar_Punjab_India,Indian,Graduate,Hinduism,,Reading_Travelling,Married,,,images/Puneet_Issar.jpg
Prem Chopra,Prem Chopra,23 September 1935,, 180 cm, 85 kg ,Dark Brown,N/A (Bald),Virgo,Shimla_Himachal Pradesh_India,Indian,,Hinduism,,Not Known,Married,,,images/Prem_Chopra.jpg
Prem Kumar,Prem Kumar Dhumal,10 April 1944,,173 cm,65 kg,Brown,Semi Bald (Salt & Pepper),Aries,Hamirpur,Indian,Masters in Arts,Hinduism,,,Married,,INR 2 Crore (as in 2012),images/Prem_Kumar.jpg
Prateik Babbar,Prateik Babbar,28 November 1986 ,,178 cm,75 kg,Black,Black,Sagittarius,Mumbai_Maharashtra_India,Indian,Bachelor of Arts ,Hinduism,,Travelling_Hanging Out With Friends,Married,,,images/Prateik_Babbar.jpg
Pradeep Pandey,Pradeep Pandey,9 December 1992,, 175 cm, 70 kg,Brown,Black, Sagittarius,Kandivali_Mumbai_India,Indian,Graduate,Hinduism,,Dancing,Unmarried,,,images/Pradeep_Pandey.jpg
Prakash Raj,Prakash Raj,26 March 1965,,175 cm,80 kg,Brown,Black,Aries,Bengaluru_Karnataka_India ,Indian ,Not Known,Hinduism,,Photography,Married,1.5 Crore/film (INR) ,150 Crore (INR) ,images/Prakash_Raj.jpg
Pawan Kalyan,Pawan Kalyan,2 September 1971,,178 cm,70 kg,Black,Black,Virgo,Hyderabad_Telangana_India,Indian ,Not Known,Hindu,,Reading and gardening,Married,18 Crore/film (INR),$ 15 million,images/Pawan_Kalyan.jpg
Pradeep Kumar,Pradeep Kumar,Year 1987,,178 cm,82 kg,Dark Brown,Black,Not Known,Vijayawada_Andhra Pradesh_India,Indian,B.Sc Computers,Hinduism,,Dancing_photography_story writing,Married,,,images/Pradeep_Kumar.jpg
Prabhu Deva,Prabhu Deva,3 April 1973 (Tuesday),,182 cm,,Black,Black,Aries,Mysore_Karnataka,Indian,School Dropout,Hinduism ,Vegetarian ,,Divorced,,,images/Prabhu_Deva.jpg
Pranab Mukherjee,Pranab Mukherjee,11 December 1935,,163 cm,70 kg,Black,Black,Sagittarius.,Mirati_West Bengal,Indian ,"L.L.B and M.A in Political Science and in History as well, all from University of Calcutta,
",Hinduism,,Reading_Gardening and Music,Married,1.5 Lakh Rupee per month ($2200 per month),3 Crore Indian Rupee,images/Pranab_Mukherjee.jpg
Parvin Dabas,Parvin Dabas,12 July 1974,,178 cm,75 kg,Dark Brown,Black,Cancer,Delhi_India,Indian,Graduate,Hinduism,,Photography,Married,,,images/Parvin_Dabas.jpg
Piyush Mishra,Piyush Mishra,13 January 1963,,163 cm,60 kg,Dark Brown,White,Capricorn,Gwalior_Madhya Pradesh,Indian,Graduate in Acting,Hinduism,,,Married,,,images/Piyush_Mishra.jpg
Pankaj Tripathi,Pankaj Tripathi,5 September 1976,,178 cm,70 kg,Dark Brown,Black,,Gopalganj_Bihar, Indian,Graduation in Drama from National School of Drama (NSD) in 2004,Hinduism,,Cooking_Reading_Travelling_Listening to Music,Married,,,images/Pankaj_Tripathi.jpg
Parmeet Sethi,Parmeet Sethi,14 October 1961,,178 cm,80 kg,Dark Brown,Black,Libra,New Delhi_India,Indian,Bachelor of Commerce,Sikhism,,Reading_Driving,Married,,,images/Parmeet_Sethi.jpg
Omkar Kapoor,Omkar Kapoor,Not Known,,173 cm,74 kg,Black,Black,Not Known,Mumbai_Maharashtra_India,Indian ,Bachelor of Commerce ,Hindu,,Not Known,Unmarried,Not Known,Not Known,images/Omkar_Kapoor.jpg
Paresh Rawal,Paresh Rawal,30 May 1950,,173 cm,78 kg,Dark Brown,Salt & Pepper,Gemini,Gandhinagar_Gujarat_India ,Indian ,Commerce Graduate from Bombay University in March 1974,Hinduism,,Reading_Traveling_Listening to Music_Doing Yoga,Married,Not Known,79.40 Crore INR (as in 2014),images/Paresh_Rawal.jpg
Om Prakash,Om Prakash,1 January 1935,,,,Hazel Brown,Salt & Pepper ,Capricorn,Chautala_Sirsa_Haryana_India,Indian,10th Pass ,Hinduism ,,Reading_Listening to Music,Married,,₹15.5 Crore (as of 2009),images/Om_Prakash.jpg
Pasupathy (Actor),Pasupathy Ramasaamy Solai,18 May 1969,,-175 cm,-70 kg,Dark Brown,Black,Taurus,Chennai_Tamil Nadu_India,Indian,,Hinduism,,Reading_travelling,Married,,,images/Pasupathy_(Actor).jpg
Om Puri,Om Puri,18 October 1950,,170 cm,82 kg,Dark Brown,White,Libra,Mumbai_Maharashtra_India,Indian ,Graduate in Acting,Hinduism,,Travelling,Separated,15-25 lakh/film (INR),$20 million,
Parikshit Sahni,Parikshit Sahni,1 January 1944,,170 cm,75 kg,Dark brown,Salt & pepper,Capricorn,Shantiniketan_West Bengal, Indian,Graduate,Hindu,,Painting_listening to music_writing_reading,Married,,,images/Parikshit_Sahni.jpg
Nandish Sandhu,Nandish Sandhu,25 December 1981,,183 cm,77 kg,Dark Brown,Black,Capricorn,Dholpur_Rajasthan_India,Indian ,Degree in Hotel Management,Sikh ,,Dancing_riding_photography_swimming_travelling_cooking_gaming_playing cricket,Divorced,,,images/Nandish_Sandhu.jpg
N. T.,Nandamuri Taraka Rama Rao,28 May 1923,,,,Black,Grey,Gemini,Nimmakuru_Madras Presidency_British India (Now in Andhra Pradesh_India),Indian,Bachelors of Arts,Hinduism,,,Married,,Not Known,images/N._T..jpg
Nivin Pauly,Nivin Pauly,11 October 1984,, 175 cm, 77 kg,,,Libra,Kochi_Kerala_India,Indian,,Christian,,Reading_traveling,Married,,,images/Nivin_Pauly.jpg
Ninad Kamat,Ninad Kamat,19 August,,168 cm,80 kg,Dark Brown,Black,Leo,Mumbai_India,Indian,,Hinduism,,,Married,,,images/Ninad_Kamat.jpg
Neil Nitin,Neil Nitin,15 January 1982,,172 cm,69 kg,Dark brown,Brown,Capricorn,Mumbai_Maharashtra_India,Indian ,Bachelor of Commerce,Hinduism,,Singing and playing piano,Married,Not Known,Not Known,images/Neil_Nitin.jpg
N. T.,Nandamuri Taraka Rama Rao Jr.,20 May 1983,, 175 cm, 78 kg ,Black,Black,Taurus,Hyderabad_Telangana_India,Indian,,Hinduism,,Cooking_Dancing_Singing_Reading,Married,13-15 crore/film (INR),$2 million,images/N._T..jpg
Nassar (Actor),Nassar (Actor),5 March 1958,, 173 cm, 75 kg ,Brown,Salt & Pepper,Pisces,Chennai_Tamil Nadu_India,Indian,,Islam,,Singing,Married,,,images/Nassar_(Actor).jpg
Navdeep (Actor),Navdeep Pallapolu,26 January 1986,, 175 cm, 75 kg,Hazel,Black,Aquarius,Hyderabad_Telangana_India,Indian,Not Known,Hinduism,,Reading books_driving,Unmarried,,,images/Navdeep_(Actor).jpg
Nawazuddin Siddiqui,Nawazuddin Siddiqui,19 May 1974,,168 cm,,Dark Brown,Black,Taurus,Budhana_Muzaffarnagar_Uttar Pradesh_India,Indian,Bachelor of Science in Chemistry,"Islam,
,
, He considers himself not just a Muslim, but a bit of all religions. ",Non-Vegetarian,Flying Kites_Watching Films_Farming,Married,,,images/Nawazuddin_Siddiqui.jpg
Narain (Actor),Narain (Actor),7 October 1979,, 173 cm, 62 kg ,Black,Black,Libra,Chennai_Tamil Nadu_India,Indian,,Hinduism,,Reading books,Married,,,images/Narain_(Actor).jpg
Naseeruddin Shah,Naseeruddin Shah,20 July 1949,,170 cm,71 kg,Dark Brown,White,Leo,Barabanki_Uttar Pradesh_India,Indian,Graduate in Arts,Islam,,Playing Tennis_Reading,Married,,,images/Naseeruddin_Shah.jpg
Nana Patekar,Nana Patekar,1 January 1951,,170 cm,70 kg,Dark Brown,Salt & Pepper,Capricorn,Mumbai_Maharashtra_India,Indian,A Commercial Arts diploma from J J School of Arts,Agnostic,Non-Vegetarian,Cooking_Doing Philanthropy,Separated,₹4 Crore/Film,Not Known,images/Nana_Patekar.jpg
Naresh Agarwal,Naresh Chandra Agarwal,1 October 1951,,,,Black,Salt and Pepper,Libra,Hardoi district_Uttar Pradesh_India,Indian,"B.Sc. from Lucknow University, Lucknow,
LL.B. from Lucknow University, Lucknow",Hinduism,,Playing Cricket and Hockey,Married,,₹3 Crore,images/Naresh_Agarwal.jpg
Nani (Actor),Nani (Actor),24 February 1984,, 175 cm,65 kg ,Dark Brown,Black,Pisces,Hyderabad_Telangana_India,Indian,,Hinduism,,Travelling,Married,₹6 crore/film,Not Known,images/Nani_(Actor).jpg
Naga Chaitanya,Naga Chaitanya,3 November 1986,,175 cm,74 kg,Black,Black,Sagittarius,Chennai_Tamil Nadu_India,Indian,Bachelor of Commerce,Hinduism,,Playing Keyboard & Bass Guitar_Travelling,Married,,,images/Naga_Chaitanya.jpg
Nagesh Bhosle,Nagesh Bhosle,7 August 1960,,175 cm,75 kg,Dark Brown,Black,Leo,Nagpur_Maharashtra_India,Indian,Graduate,Hinduism,,Travelling_Singing_Watching Films_Writing,Married,,,images/Nagesh_Bhosle.jpg
Mukul Dev,Mukul Dev Kaushal,30 November 1970,,173 cm,70 kg,Dark Brown,Dark Brown,Sagittarius,Delhi_India,Indian,Certificate in Aeronautics,Hinduism,Non-Vegetarian,Listening to Music_Horse-riding_Travelling_Watching Movies_Hanging out,Divorced,,,images/Mukul_Dev.jpg
Mohit Raina,Mohit Raina,14 August 1982,,180 cm,78 kg,Brown,Black,Leo,Kashmir_India,Indian ,Bachelor of Commerce,Hinduism,,Meditation_Playing Snooker_Reading_Gymming,Unmarried,₹1 lakh/day ,,images/Mohit_Raina.jpg
Mukesh Khanna,Mukesh Khanna,19 June 1958 (Thursday),,185 cm,,Black,Salt & Pepper,Gemini,Mumbai_India,Indian,"• B.Sc.,
• Master of Laws,
• An acting course from the FTII",Hinduism,,,Unmarried,,,images/Mukesh_Khanna.jpg
Mohit Marwah,Mohit Marwah,26 August 1984,,185 cm,80 kg,Dark Brown,Black,Virgo,New Delhi_India,Indian,Graduate,Hinduism,,Travelling_Workouts_Watching cricket & badminton,Married,,,images/Mohit_Marwah.jpg
Mukesh Ambani,Mukesh Dhirubhai Ambani,19 April 1957,63 Years,169 cm,,Dark Brown,Black,Aries,Mumbai_India,Indian ,"BE degree in Chemical Engineering,
MBA from Stanford University (discontinued)",Hinduism,,Reading_Hanging out with friends_Watching movies_Jungle adventure_Listening to old Hindi songs_swimming_doing long-walks,Married,,$49.2 billion (as in 2020) ,images/Mukesh_Ambani.jpg
Mohan Joshi,Mohan Sirish Joshi,4 September 1945 (Tuesday), 74 Years,178 cm,,Black,Salt & Pepper,Virgo,Bangalore,Indian,Bachelor of Commerce ,,,,Married,,,images/Mohan_Joshi.jpg
Mithun Chakraborty,Mithun Chakraborty,16 June 1950,,183 cm,72 kg,Black,Black,Gemini,Barisal_East Pakistan now Bangladesh,Indian ,Graduation,Hinduism,,Dancing_Sportive Activities,Married,15 Crore INR/Movie,$40 Million,images/Mithun_Chakraborty.jpg
"Mohanlal Height,","Mohanlal Height,",21 May 1960,, 172 cm, 82 kg,,,Taurus,Kochi_Kerala_India,Indian,,Hindu,,Collecting antiques & artifacts,Married,2 to 3 Crore/film (INR),Not Known,"images/Mohanlal_Height,.jpg"
Milind Soman,Milind Usha Soman,4 November 1965,,180 cm,75 kg,Brown,Salt & Pepper,Scorpio,Mumbai_Maharashtra_India,Indian,Diploma in Electrical Engineering,Hinduism,Non-Vegetarian,Swimming_Running_Travelling_Kickboxing,Married,,₹$20 million (as in 2018) ,images/Milind_Soman.jpg
Manoj Tiwari,Manoj Tiwari,1 February 1973,,170 cm,78 kg,Black,Black,Aquarius,Atarwalia_Bihar_India,Indian ,M.P.Ed From Banaras Hindu University (BHU) Varanasi UP in 1994,Hinduism,,Singing and playing cricket,Divorced,Rs. 1 Lakh + Other Allowances,Rs. 24 Crore (as in 2019),images/Manoj_Tiwari.jpg
Manoj Kumar,Manoj Kumar,24 July 1937,,178 cm,85 kg,Black,Salt & Pepper ,Cancer,Delhi_India,Indian ,Graduation,Hinduism,,Listening to music_Singing,Married,,,images/Manoj_Kumar.jpg
Manoj Bajpayee,Manoj Bajpayee,23 April 1969,,175 cm,68 kg,Black,Black,Taurus,His ancestry belonging is a small village called Belwa on the border of Nepal near the town Narkatiaganj in West Champaran_Bihar.,Indian ,"Graduate in History,
Drama",Hinduism,,Theatre plays,Married,4 Crore (INR),Not Known,images/Manoj_Bajpayee.jpg
Manoj Joshi,Manoj Joshi,3 September 1965,,170 cm,80 kg,Dark Brown,Black,Virgo,Adpodra_Gujarat_India,Indian,A Diploma in Commercial Art,Hinduism,Vegetarian,Listening to Music and Watching TV,Married,,Not Known,images/Manoj_Joshi.jpg
Mahesh Babu,Mahesh Babu,9 August 1975,,188 cm,70 kg,Brown,Black,Leo,Chennai_Tamil Nadu_India,Indian ,Bachelor of Commerce ,Hindu,,Reading_jogging_playing video games,Married,20 Crore/film (INR),$ 20 million,images/Mahesh_Babu.jpg
Mammootty (Actor),Mammootty (Actor),7 September 1951,,178 cm,85 kg,Ligh Brown,Black,Virgo,Chempu_Kottayam_Kerala_India,Indian,LLB ,Islam,,Writing,Married,3 Crore/film (INR),Not Known,images/Mammootty_(Actor).jpg
Madhu Chopra,Madhu Akhouri Chopra,16 June 1958 (Monday),,160 cm,,Dark Brown,Brown,Gemini,Mumbai_Maharashtra_India,Indian,Not Known,Hinduism,Non-Vegetarian,Travelling_Singing,Widow (Her husband died in 2013),,,images/Madhu_Chopra.jpg
Lokesh Kumari,Lokesh Kumari,24 March 1991,, 155 cm,68 kg,,,Aries,Delhi,Indian,,Hinduism,,Dancing_Singing_Travelling,Unmarried,,,images/Lokesh_Kumari.jpg
Lucky Ali,Lucky Ali,19 September 1958,,175 cm,75 kg,Moss Green,Salt & Pepper,Virgo,Mumbai_Maharashtra_India,Indian,Not Known,Islam,,Reading_Farming,Married,,,images/Lucky_Ali.jpg
Lekh Tandon,Lekh Tandon,13 February 1929,,165 cm,80 kg,Dark Brown,White,Aquarius,Lahore_Pakistan,Indian,,Hinduism,,Reading_Playing Video Games,Widower,,,images/Lekh_Tandon.jpg
Kunal Singh,Kunal Singh,5 March 1993,, 173 cm, 75 kg,Black,Black,Pisces,Delhi_India,Indian,,Hindu,,Gymming,Unmarried,,,images/Kunal_Singh.jpg
Kunal Khemu,Kunal Khemu,25 May 1983,,168 cm,65 kg,Dark Brown,Black,Taurus,Mumbai_India,Indian,Graduation,Hinduism,Non-Vegetarian,Travelling_Cooking,Married,₹1-2 crore/film,$3 million,images/Kunal_Khemu.jpg
Luv Sinha,Luv Sinha,5 June 1983,,175 cm,70 kg,Black,Black,Gemini,Mumbai_Maharashtra_India,Indian,,Hinduism,Non-Vegetarian,Traveling,Unmarried,,,images/Luv_Sinha.jpg
Kunaal Roy,Kunaal Roy,13 January 1979,,180 cm,85 kg,Dark Brown,Black,Capricorn,Mumbai_Maharashtra_India,Indian ,Graduate,Hinduism,,Photography_doing theatre plays_swimming,Married,,,images/Kunaal_Roy.jpg
Kunal Kapoor,Kunal Kapoor,18 October 1977 ,,191 cm,88 kg,Dark Brown,Black,Libra,Amritsar_Punjab_India,Indian,,Hinduism,,Writing_Racing_Skydiving_Travelling_Photography,Married,₹2-3 Crore/film,$4 million,images/Kunal_Kapoor.jpg
